year,C_nh_ppb,C_sh_ppb,sink_nh_TgYr,sink_sh_TgYr,emis_nh_TgYr,emis_sh_TgYr
1970,1700.00,1600.00,0.00,0.00,349.18,109.78
1971,1852.39,1766.90,0.00,0.00,337.95,105.31
1972,2009.85,1926.21,0.00,0.00,344.30,107.52
1973,2177.49,2091.05,0.00,0.00,367.42,117.67
1974,2346.52,2260.07,0.00,0.00,355.67,114.47
1975,2515.40,2427.69,0.00,0.00,366.29,114.37
1976,2681.59,2594.64,0.00,0.00,351.19,109.51
1977,2848.07,2762.24,0.00,0.00,361.34,119.38
1978,3019.11,2933.15,0.00,0.00,364.38,121.15
1979,3196.79,3105.84,0.00,0.00,385.88,118.60
1980,3373.59,3281.25,0.00,0.00,374.51,116.24
1981,3542.24,3453.62,0.00,0.00,356.89,113.34
1982,3710.43,3622.98,0.00,0.00,365.77,117.82
1983,3884.21,3793.74,0.00,0.00,375.71,114.29
1984,4056.76,3966.36,0.00,0.00,368.65,116.65
1985,4230.38,4141.33,0.00,0.00,373.66,123.37
1986,4406.63,4317.05,0.00,0.00,376.10,121.41
1987,4585.03,4492.52,0.00,0.00,384.50,117.89
1988,4763.84,4669.55,0.00,0.00,385.19,117.95
1989,4945.04,4849.54,0.00,0.00,393.20,121.46
1990,5129.86,5031.89,0.00,0.00,401.88,120.97
1991,5315.47,5215.56,0.00,0.00,402.35,118.27
1992,5495.43,5399.03,0.00,0.00,384.97,121.33
1993,5674.27,5578.95,0.00,0.00,387.99,116.69
1994,5854.03,5758.98,0.00,0.00,389.32,122.65
1995,6033.80,5939.81,0.00,0.00,385.51,121.48
1996,6211.63,6119.79,0.00,0.00,379.74,124.29
1997,6392.27,6302.17,0.00,0.00,385.82,133.14
1998,6578.51,6487.42,0.00,0.00,395.50,135.24
1999,6760.55,6669.67,0.00,0.00,376.60,122.03
2000,6935.48,6846.37,0.00,0.00,371.95,123.03
2001,7112.54,7023.48,0.00,0.00,377.93,125.14
2002,7291.88,7203.30,0.00,0.00,380.12,131.69
2003,7475.64,7384.18,0.00,0.00,391.93,126.60
2004,7659.85,7567.82,0.00,0.00,389.16,131.74
2005,7846.26,7752.46,0.00,0.00,397.31,127.39
2006,8032.83,7940.61,0.00,0.00,394.25,139.88
2007,8221.36,8128.62,0.00,0.00,398.00,131.84
2008,8408.72,8314.16,0.00,0.00,396.27,127.59
2009,8596.30,8502.97,0.00,0.00,398.41,138.37
2010,8788.74,8693.49,0.00,0.00,410.12,135.23
2011,8980.46,8883.92,0.00,0.00,403.37,131.10
2012,9170.25,9072.76,0.00,0.00,406.49,128.96
2013,9362.46,9263.35,0.00,0.00,412.70,130.55
2014,9555.74,9457.28,0.00,0.00,413.17,137.72
2015,9752.51,9654.52,0.00,0.00,419.73,142.70
2016,9952.35,9851.35,0.00,0.00,424.99,133.45
2017,10150.65,10048.25,0.00,0.00,422.04,133.21
2018,10348.14,10245.73,0.00,0.00,425.10,135.70
2019,10550.09,10446.89,0.00,0.00,435.60,142.64
2020,10755.87,10650.25,0.00,0.00,440.26,137.59
