time,NH_mean,NH_error,SH_mean,SH_error
1980-01-01,,,,
1981-01-01,,,,
1982-01-01,,,,
1983-01-01,,,1580.50,5.59
1984-01-01,1694.05,11.06,1595.74,6.04
1985-01-01,1706.44,11.75,1608.05,4.40
1986-01-01,1721.93,9.90,1617.91,3.92
1987-01-01,1732.27,10.49,1630.82,5.16
1988-01-01,1744.93,10.15,1642.04,4.28
1989-01-01,1753.58,10.13,1654.70,4.63
1990-01-01,1764.47,9.38,1665.56,3.33
1991-01-01,1777.71,9.44,1675.15,4.20
1992-01-01,1789.07,8.47,1688.46,5.59
1993-01-01,1797.66,7.00,1692.79,2.68
1994-01-01,1807.95,6.82,1694.76,2.89
1995-01-01,1815.35,6.56,1703.27,3.91
1996-01-01,1817.83,6.87,1707.00,2.67
1997-01-01,1817.65,6.74,1709.09,2.94
1998-01-01,1824.64,8.11,1715.75,2.92
1999-01-01,1835.54,7.75,1726.37,3.83
2000-01-01,1833.86,7.05,1731.87,2.02
2001-01-01,1835.56,7.11,1730.59,1.90
2002-01-01,1834.64,6.63,1731.28,2.32
2003-01-01,1841.38,8.07,1732.75,2.27
2004-01-01,1847.06,6.83,1738.96,5.28
2005-01-01,1840.88,6.64,1739.35,6.58
2006-01-01,1843.34,7.21,1737.74,5.67
2007-01-01,1846.44,7.07,1738.85,6.26
2008-01-01,1858.00,7.59,1747.25,6.59
2009-01-01,1864.35,7.50,1753.58,6.19
2010-01-01,1866.72,7.43,1759.09,6.54
2011-01-01,1868.24,7.16,1764.80,4.67
2012-01-01,1872.74,6.28,1765.22,2.16
2013-01-01,1876.80,6.91,1770.62,3.73
2014-01-01,1885.36,7.91,1778.78,5.37
2015-01-01,1900.61,6.97,1790.13,6.04
2016-01-01,1909.17,6.15,1799.52,6.01
2017-01-01,1915.88,6.28,1805.57,5.56
2018-01-01,1922.62,7.14,1816.45,6.69
2019-01-01,1927.25,6.83,1825.54,6.06
2020-01-01,1937.63,7.91,1832.14,6.68
